"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","5","D1-D5","QTLP651C4TR","Everlight Electronics Co Ltd","QTLP651C4TR","DIGIKEY","QTLP651C4TR"
"2","5","F1-F5","PolyFuse","Keystone Electronics","3568","DIGIKEY","36-3568-ND"
"3","1","J2","2604-1110","WAGO","2604-1110","DIGIKEY","2946-2604-1110-ND"
"4","2","J1,J3","2606-1102","WAGO","2606-1102","DIGIKEY","2946-2606-1102-ND"
"5","5","R1-R5","1k","Stackpole Electronics Inc","RMCF1206FT1K00","DIGIKEY","RMCF1206FT1K00"
