Item, Qty, Reference(s), Value, DIST, DIST P/N, MFG, MFG P/N, Sim.Enable, 
"1","1","C1","0.01uF-10%-50V-0603","Digikey","1276-1009-1-ND","Samsung Electro-Mechanics","CL10B103KB8NNNC",""
"2","1","C2","0.22uF-10%-50V-0603","Digikey","1276-6600-1-ND","Samsung Electro-Mechanics","CL10B224KB8VPNC",""
"3","2","C3,C4","82uF 35V","Mouser","667-35SEPF82M","Panasonic Electronic Components","35SEPF82M",""
"4","1","C5","470pF-5%-50V-0603","Digikey","399-C0603C471J5GAC7867CT-ND","KEMET","C0603C471J5GAC7867",""
"5","1","C6","2.2uF-10%-6.3V-0603","Digikey","445-6933-1-ND","TDK Corporation","CGA3E1X7R0J225K080AC",""
"6","1","C7","1uF-10%-50V-0805","Digikey","1276-6470-1-ND","Samsung Electro-Mechanics","CL21B105KBFNNNG",""
"7","1","C8","330uF 35V","Digikey","1189-35PZJ330M10X9-ND","Rubycon","35PZJ330M10X9",""
"8","1","C9","22uF-25V-10%-1210","Digikey","490-3889-1-ND","Murata","GRM32ER61E226KE15L",""
"9","1","C10","10pF-5%-50V-0603","Digikey","478-KGM15ACG1H100JTCT-ND","KYOCERA AVX","KGM15ACG1H100JT",""
"10","3","C11,C12,C13","0.1uF-10%-50V-0603","Digikey","1276-1000-1-ND","Samsung Electro-Mechanics","CL10B104KB8NNNC",""
"11","1","D1","15V","Digikey","1727-3593-1-ND","Nexperia","BZT52H-C15,115",""
"12","1","D2","STPS20M100SG-TR","Digikey","497-10993-1-ND","STmicroelectronics","STPS20M100SG-TR",""
"13","1","D3","3.3V","Digikey","1727-2937-1-ND","Nexperia","BZX84-C3V3,215",""
"14","1","D4","BAV99LT1G","Digikey","BAV99LT1GOSCT-ND","onsemi","BAV99LT1G",""
"15","1","D5","15V","Digikey","F11544CT-ND","Littelfuse","SZ1SMB15CAT3G",""
"16","1","D6","PWR","Digikey","1497-1183-1-ND","SunLED","XZMDKVG55W-8",""
"17","1","J1","TEMP","Digikey","455-1788-1-ND","JST","BM02B-SRSS-TB",""
"18","1","J2","18V_OUT","Digikey","732-691408720002B-ND","Würth Elektronik","691408720002B",""
"19","1","J3","I2C","Digikey","455-BM04B-SRSS-TBCT-ND","JST","BM04B-SRSS-TB",""
"20","1","J4","FAN","Digikey","WM4802-ND","Molex","70543-0003",""
"21","2","J5,J6","MIPI","Digikey","A101418CT-ND","TE Connectivity","1-1734248-5",""
"22","2","J7,J8","CAN-FD2,CAN-FD1","Digikey","455-BM05B-SURS-TFCT-ND","JST Sales","BM05B-SURS-TF",""
"23","4","J9,J10,J11,J12","CAN-FD2,CAN-PT-FD2,CAN-FD1,CAN-PT-FD1","Digikey","WM4164-ND","Molex","0705550001",""
"24","1","J13","Power","Digikey","732-691406510002B-ND","Wurth","691406510002B",""
"25","2","J14,J15","HDMI","Digikey","900-2086581051CT-ND","Molex","2086581051",""
"26","1","L1","4.7 uH-4.18m-20%","Digikey","541-1282-1-ND","Vishay Dale","IHLP6767GZER4R7M11",""
"27","1","Q1","CSD16322Q5","Digikey","296-25112-1-ND","Texas Instruments","CSD16322Q5",""
"28","1","Q2","SI4483ADY-T1-GE3","Mouser","781-SI4483ADY-GE3","Vishay","SI4483ADY-T1-GE3",""
"29","1","Q3","2N3904 Transistor Temp Sensor","Digikey","2N3904FS-ND","onsemi","2N3904BU","0"
"30","3","R1,R8,R16","1.0k-1%-0603","Digikey","311-1.00KHRCT-ND","Yageo","RC0603FR-071KL",""
"31","3","R3,R4,R12","100R-1%-0603","Digikey","311-100HRCT-ND","Yageo","RC0603FR-07100RL",""
"32","5","R5,R11,R17,R18,R19","4.99k-1%-0603","Digikey","311-4.99KHRCT-ND","Yageo","RC0603FR-074K99L",""
"33","2","R7,R10","10k-1%-0603","Digikey","311-10.0KHRCT-ND","Yageo","RC0603FR-0710KL",""
"34","1","R9","0R-1%-0603","Digikey","311-0.0HRCT-ND","Yageo","RC0603FR-070RL",""
"35","1","R13","4.0m-1%-1W","Digikey","541-WSKW06124L000FEACT-ND","Vishay Dale","WSKW06124L000FEA",""
"36","1","R14","64.9k-1%-0603","Digikey","311-64.9KHRCT-ND","Yageo","RC0603FR-0764K9L",""
"37","2","R15,R21","13.3k-1%-0603","Digikey","311-13.3KHRCT-ND","Yageo","RC0603FR-0713K3L",""
"38","1","R20","150R-1%-0603","Digikey","311-150HRCT-ND","Yageo","RC0603FR-07150RL",""
"39","1","U1","LM3478MA","Digikey","296-38111-1-ND","Texas Instruments","LM3478MAX/NOPB",""
"40","1","U2","EMC2101-R","Digikey","EMC2101-R-ACZL-CT-ND","Microchip","EMC2101-R-ACZL-TR",""
"41","1","U3","AT24CS02-SSHM","Digikey","AT24C02D-SSHM-TCT-ND","Microchip","AT24C02D-SSHM-T",""
"42","1","U4","MIC5233-3.3YS","Digikey","576-4075-ND","Microchip","MIC5233-3.3YS",""
"43","1","U5","ISP762T","Digikey","ISP762TFUMA1CT-ND","Infineon","ISP762TFUMA1",""
"44","1","W1","JST 02SR-3S Diode Harness","Digikey","455-3623-ND","JST Sales","A02SR02SR30K254A","0"
"45","2","R2,R6","DNP","","","","",""
