"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","C1","4.7nf-10%-25V-0603","KEMET","C0603C472K3RAC7867","DIGIKEY","399-C0603C472K3RAC7867CT-ND"
"2","1","C2",".1uf-10%-25V-0603","KEMET","C0603C104K3RAC7867","DIGIKEY","399-C0603C104K3RAC7867CT-ND"
"3","1","D3","PMEG3020EP,115","Nexperia USA Inc.","1727-5836-1-ND","DIGIKEY","PMEG3020EP,115"
"4","2","D1,D2","-- mixed values --","SunLED","XZVG55W-A2RT","DIGIKEY","1497-1291-1-ND"
"5","1","J1","0705550037","MOLEX","0705550037","DIGIKEY","WM4176-ND"
"6","1","R3","10k-1%-0603","YAGEO","RC0603FR-0710KL","DIGIKEY","311-10.0KHRCT-ND"
"7","2","R1,R2","3k-1%-0603","Stackpole Electronics Inc","ERA-3AEB302VRMCF0603FT3K00","DIGIKEY","RMCF0603FT3K00CT-ND"
"8","1","U1","US5881ESE","Melexis Technologies NV","US5881ESE-AAA-000-RECT-ND","DIGIKEY","US5881ESE-AAA-000-RE"
